"ano","sequencial_candidato","nome","uf","partido","quantidade_doacoes","quantidade_doadores","total_receita","media_receita","recursos_de_outros_candidatos.comites","recursos_de_pessoas_fisicas","recursos_de_pessoas_juridicas","recursos_proprios","recursos_de_partido_politico","quantidade_despesas","quantidade_fornecedores","total_despesa","media_despesa","cargo","sexo","grau","estado_civil","ocupacao","votos"
2006,"10004","EDUARDO VALVERDE ARAÚJO ALVES","RO","PT",68,65,111218.2,1635.56,9575,59143.2,26000,16500,0,68,67,110818.2,1629.68,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","DEPUTADO",34631
2006,"10004","IRINEU RODRIGUES","PR","PPS",13,13,27745.5,2134.27,1375.5,4500,12500,9370,0,52,49,27682.1,532.35,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","DEPUTADO",26856
2006,"10004","TARCISIO JOÃO ZIMERMMANN","RS","PT",61,54,240740.7,3946.57,6295.1,42948,176497.6,15000,0,181,153,184442.87,1019.02,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","DEPUTADO",106659
2006,"10004","WILLIAN GOMES EUGENIO","MG","PPS",24,23,21322.45,888.44,0,3690,2233.45,11897,3502,61,38,18593.65,304.81,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","GERENTE",1859
2006,"10005","AMAURI GUEDES DE FREITAS","RO","PT",13,13,17035,1310.38,1125,13350,0,2560,0,44,41,16035.22,364.44,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","SOLTEIRO(A)","OUTROS",3752
2006,"10005","ELIAS RAMOS SOARES","MG","PPS",4,4,13378.5,3344.62,3378.5,0,10000,0,0,28,22,13195.24,471.26,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","APOSENTADO (EXCETO SERVIDOR PÚBLICO)",8346
2006,"10005","FRANCISCO ALVES DA CRUZ FILHO","MA","PSTU",1,1,500,500,0,500,0,0,0,1,1,500,500,"DEPUTADO FEDERAL","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","OUTROS",4621
2006,"10005","GILBERTO JOSÉ SPIER VARGAS","RS","PT",67,64,207876.7,3102.64,1628.25,16098.45,190150,0,0,330,252,170327.15,516.14,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","MÉDICO",124686
2006,"10005","GLAYDSTON LIRA GOES","PB","PSDC",2,2,185,92.5,185,0,0,0,0,2,2,185,92.5,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","COMERCIANTE",609
2006,"10005","ISAAC SILVA GOMES","AP","PT",1,1,3815,3815,3815,0,0,0,0,13,13,3812.42,293.26,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","VIGILANTE",88
2006,"10005","IVETE MARIA RIBEIRO","MS","PRONA",4,4,34000,8500,0,9000,25000,0,0,70,70,33999.84,485.71,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","DIVORCIADO(A)","ADVOGADO",4959
2006,"10005","PAULO HENRIQUE COSTA MATTOS","TO","PSOL",29,27,9747.35,336.12,1558.34,3759.01,0,4430,0,47,44,9216.96,196.11,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PROFESSOR DE ENSINO SUPERIOR",1298
2006,"10005","REJANE HALUANE CHAVES","SP","PRONA",6,6,1879.42,313.24,0,0,0,1879.42,0,22,16,1818.69,82.67,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","ADVOGADO",1220
2006,"10005","WALDIR BERTULIO","MT","PSOL",8,7,3000,375,0,3000,0,0,0,8,4,2350,293.75,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PROFESSOR DE ENSINO SUPERIOR",1507
2006,"10006","CASSIA REGINA DE JESUS MARTINS","SP","PRONA",2,2,1293.54,646.77,0,0,0,1293.54,0,2,2,1019.2,509.6,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","MÉDICO",1099
2006,"10006","INACIO BEZERRA DE SOUZA","RO","PT",1,1,1125,1125,0,0,0,0,1125,1,1,1125,1125,"DEPUTADO FEDERAL","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO","CASADO(A)","SERVIDOR PÚBLICO CIVIL APOSENTADO",858
2006,"10006","MARCO ANTONIO CAMENAR","PR","PPS",12,11,2930,244.17,0,1910,0,1020,0,35,31,2753.41,78.67,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","OUTROS",1680
2006,"10006","MARCOS AIRES RODRIGUES","TO","PSOL",1,1,600,600,0,600,0,0,0,6,6,562.5,93.75,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","ADVOGADO",1145
2006,"10006","RAIMUNDO RODRIGUES FILHO","SE","PDT",5,4,2015.05,403.01,0,0,0,2015.05,0,10,10,2015.05,201.5,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","CASADO(A)","FISCAL",3500
2006,"10006","SILVIO NUNES MACHADO","RS","PT",16,15,5603.22,350.2,0,633.22,0,4970,0,54,41,3490.86,64.65,"DEPUTADO FEDERAL","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)","VEREADOR",4096
2006,"10007","BENJAMIM ZANLORENCI JUNIOR","PR","PPS",2,2,3245.39,1622.69,0,0,3000,245.39,0,15,15,3245.39,216.36,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","ADMINISTRADOR",1440
2006,"10007","DAISY FERREIRA NETTO","SP","PRONA",4,4,2867.84,716.96,0,2306.61,0,561.23,0,8,7,2806.84,350.86,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","DIVORCIADO(A)","ASSISTENTE SOCIAL",1025
2006,"10007","DÚLCIO DA SILVA MENDES","RO","PT",17,17,24683.33,1451.96,1125,15058.33,0,8500,0,56,47,19245.65,343.67,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","ODONTÓLOGO",11052
2006,"10007","LUIS ANTONIO FERREIRA CAETANO","MS","PRONA",1,1,1000,1000,0,1000,0,0,0,7,6,875,125,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","ADMINISTRADOR",1191
2006,"10007","PAULO ROBERTO SEVERO PIMENTA","RS","PT",269,249,606332.67,2254.02,1154,329116.26,206800.24,69262.17,0,392,298,506442.84,1291.95,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","JORNALISTA E REDATOR",104430
2006,"10008","GILCLEIDE MARIA DOS SANTOS ALVES","MS","PRONA",2,2,1505,752.5,0,1505,0,0,0,2,2,1505,752.5,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","ADVOGADO",924
2006,"10008","LUCIANA DE ALMEIDA COSTA","SP","PRONA",6,6,2106,351,0,0,0,2106,0,10,10,1827.49,182.75,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","SEPARADO(A) JUDICIALMENTE","ODONTÓLOGO",3980
2006,"10008","LUIZ ARY GIN","PR","PPS",13,13,74554.74,5734.98,0,8413,57127,9014.74,0,66,59,69429.63,1051.96,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO INCOMPLETO","CASADO(A)","OUTROS",5034
2006,"10008","OLIBIO ESTEVÃO NUNES DE FREITAS","RS","PT",6,5,2580,430,0,2500,0,80,0,19,18,2208.15,116.22,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO INCOMPLETO","CASADO(A)","AGRICULTOR",4172
2006,"10008","SÔNIA CRISTINA ARRABAL DE BRITO","RO","PT",16,16,16667.64,1041.73,1125,9892.64,0,5650,0,27,25,15612.65,578.25,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","CASADO(A)","ADVOGADO",10066
2006,"10009","ADEMILTO SILVA DE SOUZA","RJ","PL",3,3,723.43,241.14,723.43,0,0,0,0,3,3,723.43,241.14,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","CASADO(A)","OUTROS",777
2006,"10009","ADRIANO BENAYON DO AMARAL","SP","PRONA",11,9,31025,2820.45,0,0,0,31025,0,36,29,30957.49,859.93,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","ADVOGADO",728
2006,"10009","EMILIA THEREZINHA XAVIER FERNANDES","RS","PT",103,98,282276.48,2740.55,0,92620.27,98766.21,90890,0,264,189,208423.52,789.48,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","DIVORCIADO(A)","PROFESSOR DE ENSINO MÉDIO",68828
2006,"10009","RENATA EITELWEIN BUENO","PR","PPS",9,9,11550,1283.33,0,9550,2000,0,0,48,41,10480.07,218.33,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","ADVOGADO",24102
2006,"10010","ANTÔNIO JOSÉ DA SILVA","MG","PPS",5,5,3273.91,654.78,3002,271.91,0,0,0,13,12,3273.43,251.8,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","CASADO(A)","COMERCIANTE",2385
2006,"10010","ENEAS FERREIRA CARNEIRO","SP","PRONA",2,2,6047.07,3023.53,0,0,0,6047.07,0,2,2,6004.8,3002.4,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","DIVORCIADO(A)","DEPUTADO",386905
2006,"10010","EURIPEDES MIRANDA BOTELHO","RO","PT",73,64,238546.91,3267.77,1125,68380.96,35740.95,133300,0,352,283,202673.51,575.78,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","ADVOGADO",20096
2006,"10010","HENRIQUE FONTANA JUNIOR","RS","PT",179,146,433624.62,2422.48,50,95763,301318,36493.62,0,495,400,354609.66,716.38,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","MÉDICO",90549
2006,"10010","RONALDO CORREIA ALMEIDA","ES","PSOL",2,2,120,60,0,0,0,120,0,3,3,339.7,113.23,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","BIBLIOTECÁRIO",1786
2006,"10010","SAINT CLAIR SILVA PEREIRA","RJ","PL",3,3,1559.63,519.88,0,0,0,0,1559.63,3,3,1559.63,519.88,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","CASADO(A)","OUTROS",5904
2006,"10011","ADRIANO LIMA CORREA","ES","PSOL",139,134,47228.27,339.77,640,26562,400,19626.27,0,54,50,41267.27,764.21,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","FISCAL",2702
2006,"10011","ELIMAR MAXIMO DAMASCENO","SP","PRONA",1,1,8400,8400,0,0,0,8400,0,4,4,8332.7,2083.18,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","DEPUTADO",1567
2006,"10011","JOSÉ HUMBERTO SOARES","MG","PPS",27,22,67277,2491.74,2307,30970,34000,0,0,141,127,65070.09,461.49,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","ENGENHEIRO",48566
2006,"10011","MARCO AURÉLIO SPALL MAIA","RS","PT",92,83,189897.5,2064.1,2167.5,117730,40000,30000,0,153,144,168159.62,1099.08,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","CASADO(A)","TRABALHADOR METALÚRGICO E SIDERÚRGICO",70983
2006,"10011","NÉRIO LOURENÇO BIANCHINI","RO","PT",40,33,78221.04,1955.53,0,20185,36510.42,21525.62,0,109,90,66534.07,610.4,"DEPUTADO FEDERAL","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)","EMPRESÁRIO",11354
2006,"10011","NOEDI BITTENCOURT MARTINS","PR","PPS",8,8,37318.55,4664.82,0,0,0,37318.55,0,17,16,30701.18,1805.95,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","DIVORCIADO(A)","ADVOGADO",4789
2006,"10012","CEZAR AUGUSTO CAROLLO SILVESTRI","PR","PPS",48,45,556859.8,11601.25,0,31406.43,505151.89,20301.48,0,275,227,427947.05,1556.17,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","DEPUTADO",88962
2006,"10012","LUIS HENRIQUE CAMPOS","ES","PSOL",11,11,3781,343.73,0,1328,380,2073,0,18,18,3779.74,209.99,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","ADMINISTRADOR",4001
2006,"10012","MARIA CONCEIÇÃO LOPES FONTOURA","RS","PT",15,14,8752,583.47,1637,2100,3000,2015,0,58,45,5703.22,98.33,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","SERVIDOR PÚBLICO FEDERAL",10947
2006,"10012","MARIA DOS ANJOS DE SOUZA CAMARDELLA","RJ","PL",5,5,18613.43,3722.69,613.43,0,0,18000,0,19,18,18101.99,952.74,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","CASADO(A)","POLICIAL CIVIL",3234
2006,"10012","MARLENE MARQUES DA SILVA","SP","PRONA",1,1,250.95,250.95,0,0,0,250.95,0,1,1,250,250,"DEPUTADO FEDERAL","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",757
2006,"10012","MAURO JORGE DE PAULA BONFIM","MG","PPS",34,29,324004.63,9529.55,3378.5,10900,1902.4,307823.73,0,364,291,295224.92,811.06,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","ADVOGADO",34014
2006,"10012","SEBASTIÃO ROBERTO PINTO","RO","PT",4,4,11202.26,2800.57,1125,39.26,0,10038,0,6,6,11202.26,1867.04,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","SERVIDOR PÚBLICO ESTADUAL",1145
2006,"10013","CARLOS FREDERICO THEODORO NADER","RJ","PL",12,10,156929.39,13077.45,0,135000,10929.39,11000,0,114,85,131738.4,1155.6,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","DEPUTADO",29559
2006,"10013","GILMAR FERREIRA RODRIGUES","MG","PPS",2,2,3002,1501,3002,0,0,0,0,2,2,3002,1501,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",907
2006,"10013","LEONARDO ESTANISLAU SZINWELSKI","RS","PT",18,18,32214.8,1789.71,1976.6,14237.3,15200,800.9,0,93,64,27100.92,291.41,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","CASADO(A)","AGRICULTOR",10971
2006,"10013","MARLI BRIGIDA DOS REIS","ES","PSOL",19,17,26100,1373.68,0,23100,0,3000,0,21,20,24897.09,1185.58,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","DIVORCIADO(A)","ASSISTENTE SOCIAL",5942
2006,"10014","ADILSON SOARES","RJ","PL",28,25,129578.53,4627.8,446.43,42353.2,81772,5006.9,0,126,96,110661.93,878.27,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","VEREADOR",48371
2006,"10014","CAUÊ LIMA CANABARRO","RS","PT",3,3,3335,1111.67,0,335,3000,0,0,67,54,3193.67,47.67,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","SOLTEIRO(A)","ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",1898
2006,"10014","JUSTINO CARVALHO NETO","MG","PPS",18,11,560162.92,31120.16,4062.92,0,11100,545000,0,781,679,465613.82,596.18,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","EMPRESÁRIO",45567
2006,"10014","THIAGO LIMA PEIXOTO COSTA","ES","PSOL",4,4,983,245.75,250,250,0,483,0,4,4,979,244.75,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","SERVIDOR PÚBLICO MUNICIPAL",349
2006,"10014","WALDIR DA SILVA CAMÊLO","GO","PFL",10,10,14503.04,1450.3,9323.04,2250,0,2930,0,11,11,14503.04,1318.46,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","ADVOGADO",1034
2006,"10015","ALIOMAR BORGES CORREA","GO","PFL",10,10,10788.04,1078.8,9323.04,0,400,1065,0,16,16,10788.04,674.25,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","POLICIAL CIVIL",1857
2006,"10015","ARI THESSING","RS","PT",8,8,32850,4106.25,0,10850,22000,0,0,27,26,32113.65,1189.39,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","VEREADOR",13814
2006,"10015","ÉRICO BRAZ COSTA JUNIOR","PR","PPS",2,2,420,210,0,0,420,0,0,2,2,420,210,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","CASADO(A)","COMERCIÁRIO",547
2006,"10015","LUCAS ANTÔNIO DE MORAIS","MG","PPS",1,1,695,695,695,0,0,0,0,1,1,695,695,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PROFESSOR DE ENSINO FUNDAMENTAL",1485
2006,"10015","ROBERTO JOSÉ PEREIRA PINTO ROBERTÃO","RJ","PL",4,4,10150,2537.5,0,0,0,10150,0,10,10,10077.2,1007.72,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","DIVORCIADO(A)","MÉDICO",14233
2006,"10016","ABELMIDIO DE SÁ RIBAS","PR","PPS",19,17,38000,2000,0,9000,20000,9000,0,136,118,37827.7,278.14,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","MILITAR REFORMADO",11711
2006,"10016","ALEXANDRE SILVEIRA DE OLIVEIRA","MG","PPS",62,62,1124345.13,18134.6,2907,55530,1012848.44,53059.69,0,891,757,758465.08,851.25,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","POLICIAL CIVIL",147663
2006,"10016","LOESTER NUNES DE OLIVEIRA","MS","PDT",6,6,59116,9852.67,12100,0,17016,30000,0,29,29,59115.87,2038.48,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","MÉDICO",18799
2006,"10016","REGINALDO GOMES GUEDES","RJ","PL",3,3,723.43,241.14,723.43,0,0,0,0,3,3,723.43,241.14,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","OUTROS",717
2006,"10016","ROSANE MARIA FERNANDES LIPERT","RS","PT",34,27,39336.6,1156.96,3536.6,12110,15140,8550,0,104,68,26533.4,255.13,"DEPUTADO FEDERAL","FEMININO","SUPERIOR INCOMPLETO","SEPARADO(A) JUDICIALMENTE","VEREADOR",12175
2006,"10017","ENELVO IRADI FELINI","MS","PDT",12,10,44200,3683.33,0,6000,25000,1100,12100,30,27,38200,1273.33,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","CASADO(A)","PRODUTOR AGROPECUÁRIO",18718
2006,"10017","HUMBERTO GUIMARÃES SOUTO","MG","PPS",26,23,277104.99,10657.88,2907,13240,4428,256529.99,0,218,196,270091.42,1238.95,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","VIÚVO(A)","OUTROS",64836
2006,"10017","MARCOS VALENTE ISFER","PR","PPS",18,17,151024.49,8390.25,0,13050,78674.49,59300,0,82,69,134177.36,1636.31,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","DEPUTADO",37860
2006,"10017","ROGERIO PORTELLA PAIM","RJ","PL",3,3,723.43,241.14,723.43,0,0,0,0,3,3,723.43,241.14,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","ADVOGADO",946
2006,"10017","RONALDO RAMOS CAIADO","GO","PFL",81,80,1161954.47,14345.12,247325.44,347504,538820,28305.03,0,816,787,1062452.42,1302.03,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","MÉDICO",152895
2006,"10018","ANTÔNIO ROSA CABRAL","MS","PDT",5,5,9560,1912,8300,0,0,1260,0,22,21,9555.39,434.34,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","SOLTEIRO(A)","MILITAR REFORMADO",810
2006,"10018","HILDEMAR SOUZA DE AZEVEDO PICANÇO","AP","PL",8,7,100015.39,12501.92,0,25000,50000,25015.39,0,45,40,94984.69,2110.77,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","DEPUTADO",10336
2006,"10018","RAIMUNDO FREIRE DE MOURA","MG","PPS",6,6,7807,1301.17,4807,0,0,3000,0,44,16,5997.02,136.3,"DEPUTADO FEDERAL","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","REPRESENTANTE COMERCIAL",1312
2006,"10019","CÉLIO UBIRAJARA ARAÚJO DIAS","AP","PL",2,2,880,440,0,0,880,0,0,2,2,880,440,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","JORNALISTA E REDATOR",434
2006,"10019","JESUS CAMPOS DE TOLEDO","MG","PPS",3,3,2657.76,885.92,2157.76,500,0,0,0,11,9,2640.04,240,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","ENGENHEIRO",1567
2006,"10019","JOÃO LUCAS MARTINS","MS","PDT",7,7,14600,2085.71,8300,4800,1500,0,0,16,15,14480.57,905.04,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","SOLTEIRO(A)","ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",8855
2006,"10019","ORLANDO DESCONSI","RS","PT",85,81,162420,1910.82,0,56720,38700,67000,0,296,263,135150.34,456.59,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","DEPUTADO",66103
2006,"10019","SIDNEI OLIVEIRA TELLES FILHO","PR","PPS",42,38,38640,920,0,8190,26350,4100,0,80,68,36137,451.71,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","ENGENHEIRO",26484
2006,"10020","ANTÔNIO EUSTÁQUIO VIEIRA","MG","PPS",19,18,46720.71,2458.98,9802,36068.71,850,0,0,140,122,44733.4,319.52,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","DIVORCIADO(A)","OUTROS",2984
2006,"10020","ARMANDO ALVES JÚNIOR","AP","PL",5,5,71810.94,14362.19,0,6000,30000,30760.94,5050,36,34,66280.93,1841.14,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SEPARADO(A) JUDICIALMENTE","DEPUTADO",3859
2006,"10020","CARLOS ROBERTO MASSA JUNIOR","PR","PPS",27,24,2620943,97071.96,0,1381000,669943,570000,0,5545,3078,2213874.07,399.26,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","DEPUTADO",205286
2006,"10020","FERNANDO STEPHAN MARRONI","RS","PT",44,42,139280.95,3165.48,0,82165.63,49115.32,8000,0,42,42,121280.95,2887.64,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","SERVIDOR PÚBLICO FEDERAL",70411
2006,"10020","JOÃO LOPES SOARES","RJ","PL",3,3,890.43,296.81,780.43,0,0,0,110,3,3,890.43,296.81,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","DIVORCIADO(A)","COMERCIANTE",724
2006,"10020","LEOCÁDIA AGLAÉ PETRY LEME","MS","PDT",32,32,28450,889.06,11100,12350,0,5000,0,85,77,29798.37,350.57,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","CASADO(A)","PROFESSOR DE ENSINO MÉDIO",4786
